cell_id	cluster	MajorAxisLength	total_DNA_median	total_rRNA	total_mRNA
645	2	11.31921512	920	1279	26
646	4	10.28353703	668	1267	12
647	6	12.82611171	642	580	10
648	7	18.22037134	912	898	79
649	5	20.89086733	871	1199	74
650	6	12.39151572	629	999	8
651	4	12.77601405	902	946	9
652	4	11.27479638	770	765	12
653	7	15.21747675	905	1441	36
654	11	12.95703141	811	668	10
655	7	21.5313312	967	1275	194
656	6	8.085642596	752	1431	24
657	1	15.79178145	870	1140	191
658	2	12.09083298	841	958	29
659	9	11.1900539	875	1611	4
660	5	12.53164259	1023	903	51
661	5	13.92834452	926	1583	101
662	7	14.7307831	890	1996	144
663	2	11.64648502	747	1253	17
664	2	13.28792774	830	1397	25
665	9	14.53739418	481	530	13
666	4	8.274713826	755	722	6
667	5	19.7773049	982	1127	71
668	2	11.94456298	928	1037	23
669	0	14.79353532	947	1132	61
670	4	9.494905745	803	959	12
671	7	13.36629389	871	993	78
672	3	13.11813443	738	1288	15
673	1	13.97589765	814	1003	25
674	2	15.99781522	924	1098	68
675	1	11.28037161	825	852	21
676	15	12.68540355	922	1334	108
677	1	16.22244152	769	779	65
678	15	15.48397957	945	1656	272
679	2	10.35389568	778	1730	18
680	1	19.33788884	807	1111	59
681	19	17.04065073	958	1002	79
682	6	8.255716973	673	2362	4
683	1	13.86484742	829	866	26
684	13	11.05991171	780	945	27
685	3	19.03795338	724	1145	45
686	18	9.035876207	675	659	20
687	18	10.13498637	659	742	10
688	15	25.47545417	962	851	97
689	1	19.1981157	895	1178	45
690	0	16.78404449	956	1116	89
691	0	16.71058165	886	1443	78
692	9	11.71903758	484	642	11
693	18	9.528489322	615	346	5
694	10	11.69023485	459	918	6
695	1	10.57579442	899	766	38
696	4	9.69921918	613	800	7
697	13	11.38604723	782	958	6
698	3	14.26929057	659	1381	27
699	9	13.38811036	505	539	8
700	4	12.82418366	583	557	10
701	12	9.608903706	586	1456	14
702	14	8.946724784	691	529	13
703	4	10.82478819	849	2085	9
704	0	19.19258907	897	1070	77
705	5	21.0461724	946	1326	79
706	0	21.12977787	706	1296	55
707	9	10.95907478	563	777	8
708	5	16.95465345	880	968	50
709	0	12.09127167	924	982	24
710	5	26.78232603	897	1228	53
711	11	13.22292957	581	637	7
712	4	9.881246648	849	1249	11
713	13	9.403765932	724	1002	6
714	0	17.42540695	980	1289	110
715	12	9.923231293	641	1903	25
716	2	14.13673198	899	1358	36
717	2	12.25462925	885	1345	40
718	1	16.51725425	913	1020	50
719	15	13.27101635	912	1106	333
720	6	9.533778419	634	231	11
721	14	8.932064583	745	964	17
722	10	15.83146603	472	563	3
723	4	9.321939215	854	484	6
724	2	10.49656662	631	2469	30
725	4	11.52521365	624	876	9
726	11	10.19777982	695	803	3
727	13	13.23577174	710	313	8
728	2	9.810530309	809	1076	13
729	1	14.59687677	866	775	27
730	0	18.32924402	840	1070	58
731	1	10.2855832	854	730	8
732	14	13.47269699	677	3248	7
733	7	21.15962	627	1368	33
734	2	12.21468424	655	2438	21
735	6	12.67203276	878	1030	20
736	4	8.492110576	822	1014	12
737	10	10.39668537	628	765	9
738	13	8.863087987	701	529	16
739	4	7.975783703	772	530	13
740	1	14.32286517	628	2056	91
741	4	11.79450117	662	696	6
742	2	9.261979177	873	1160	16
743	1	13.36574029	858	1077	79
744	4	10.88300364	930	857	17
745	0	27.03186243	818	787	64
746	0	16.99914434	763	1511	50
747	4	11.17942116	768	258	5
748	4	8.887304891	677	596	6
749	0	23.08879712	861	945	100
750	9	9.4009988	548	270	6
751	4	10.7410969	607	968	18
752	3	18.93787542	605	842	19
753	13	9.612468754	769	1284	38
754	1	11.31759776	884	911	48
755	2	12.28375844	876	1400	18
756	7	15.46456222	847	1227	44
757	3	10.75045942	536	3046	21
758	13	10.4227575	680	952	9
759	6	11.5566503	895	912	18
760	7	26.96565371	965	1123	500
761	2	10.06617434	937	899	18
762	16	9.705965966	773	958	11
763	0	14.00876866	815	1353	29
764	10	10.47364987	615	1023	19
765	12	9.148261999	622	1595	10
766	8	12.12560049	531	524	6
767	4	10.60502197	754	921	6
768	0	12.72776552	924	1066	38
769	15	27.90710474	814	1344	342
770	0	11.25691083	891	1096	42
771	6	11.08420717	692	1047	16
772	3	9.308293243	707	305	59
773	1	13.59686061	948	957	82
774	1	10.89560274	948	601	85
775	9	10.55890798	630	714	13
776	5	24.18193644	942	1246	68
777	4	10.39668537	825	1084	9
778	2	15.4379427	985	1000	13
779	2	10.83933698	801	1222	27
780	1	14.95296157	855	643	31
781	14	8.883598625	693	708	34
782	11	10.02029086	588	272	9
783	0	15.02174986	912	1416	60
784	3	14.40043953	649	1229	15
785	7	18.26382749	888	1192	86
786	0	11.96964775	826	1416	63
787	9	8.703728152	807	835	19
788	5	21.50885125	837	1166	65
789	2	12.38927398	934	1161	48
790	0	13.17396838	917	1379	105
791	2	8.888505728	806	994	16
792	6	9.955782364	591	917	13
793	9	9.645562765	672	816	10
794	3	18.95746035	709	1269	55
795	0	12.32243911	920	1224	58
796	9	8.341356682	716	1796	13
797	2	10.21697458	844	1416	30
798	7	11.0906144	808	1218	42
799	4	13.13367054	493	466	5
800	2	10.14951264	696	2001	20
801	5	17.25922082	873	1187	61
802	4	10.22542126	585	559	3
803	3	8.258476548	692	620	84
804	17	18.44014955	914	1012	60
805	0	13.56139119	876	1357	90
806	12	13.74553814	533	712	23
807	5	12.8457703	923	1050	16
808	5	14.5380281	931	1163	35
809	9	8.341356682	819	693	8
810	17	20.29065157	881	1217	532
811	4	8.691861199	626	671	4
812	0	18.49540328	904	1226	106
813	12	16.36187193	697	966	337
814	3	12.09127167	810	897	147
815	3	8.52278615	908	789	30
816	0	16.64303287	889	1153	77
817	3	11.80364581	813	1069	26
818	14	9.000650871	625	1768	31
819	8	7.945743801	739	1521	4
820	11	8.198517322	595	1480	26
821	0	15.78008596	909	849	54
822	4	10.69594904	569	557	8
823	2	11.8496137	884	1037	34
824	9	10.66736163	788	991	7
825	4	13.20846519	695	716	6
826	2	13.33267327	765	1107	23
827	6	12.52656178	786	798	14
828	0	15.36678434	858	1224	93
829	3	13.59885232	878	1305	52
830	10	9.805420689	545	775	10
831	8	10.63593572	853	919	11
832	0	26.55628464	902	927	93
833	4	10.97346565	795	557	6
834	0	18.91029954	825	1068	31
835	7	16.8753037	805	1549	75
836	8	11.20808354	719	864	11
837	4	8.336266151	741	843	8
838	5	19.28845863	966	1631	134
