	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p	19_n	19_l	19_p
0	rpsC	3.0622594	0.0	nirS	5.6053033	0.0	rpsC	1.5359465	0.0	rhlA	1.85552	0.0	rhlA	0.6204616	1.5925867142086185e-79	pilA	2.566584	0.0	pslG	3.2459185	1.8465521605463244e-176	rpsC	2.5892146	0.0	rhlA	0.65690935	5.923743712144669e-49	fadB	2.3489807	3.934037304379155e-277	rhlA	0.85337174	1.6122847711360785e-63	pchF	6.3015876	1.7786e-320	rpsC	1.6149237	5.443639473158583e-202	napA	3.1851985	7.242093978764902e-67	fliC	3.4785233	0.0	rpsC	2.576445	1.6e-322	fliA	2.3205776	1.1995603000621008e-52	exoY	4.7719507	1.4526853843462044e-53	relA	4.2964683	2.715927216444879e-125	TriC	6.0331135	1.311519017680585e-34
1	rpoA	3.19602	0.0	norB	6.0457726	0.0	rpoA	1.3984593	0.0	lasB	2.529125	0.0	lasB	0.05520018	0.18026056465418344	hcnC	3.140574	0.0	rhlA	1.0545809	7.24226233698818e-155	rpoA	2.8120773	0.0	spuD	0.57827586	9.0451345974624e-16	rhlA	0.76726973	3.3838016095558145e-59	fnr_2	2.7210956	1.0094820771148619e-52	sodM	6.3997855	5.444825845245893e-118	cdrA	7.786122	1.000756527607449e-181	rhlR	2.5162969	3.1043628073446548e-46	rhlA	0.48301294	2.005777141881974e-17	rpoA	3.0299659	7.036793471125641e-271	htpX	1.08307	4.935675435140007e-18	exoT	3.6883087	1.112701531007077e-49	rhlA	0.9047994	7.256456493493069e-13	cysA	4.3838	6.541920400752984e-27
2	atpA	2.6424952	0.0	phzE1	3.5779042	0.0	atpA	0.3561786	1.4203845968954232e-35	aprA	2.26046	0.0	rpoS	0.031726427	0.3249298169861643	rpoA	1.7602152	0.0	mvfR	2.4429343	3.904466424843879e-108	atpA	2.5431166	0.0	rpoH	0.24323139	3.5156135350962678e-06	aceA	0.8862762	6.074738352283552e-22	pvdF	5.44323	1.6791761793915466e-48	rpoS	1.4432542	5.375672512013571e-110	rpoA	1.7661235	3.9385226128156896e-174	ccoN4	1.8795518	3.1581251763915736e-36	aprA	0.6521884	5.701656590823854e-16	atpA	2.461846	6.318214815562779e-186	rhlA	0.62270206	6.564193718740535e-17	rhlA	1.0591987	1.8592199106115948e-27	lasB	0.84664935	9.695994678103712e-08	gshB	0.81736535	0.16740617917647335
3	sucC	2.7461112	0.0	aprA	2.2541	0.0	pyrG	0.33256647	5.204340224196285e-19	lasA	3.5541453	0.0	aprA	-0.089849435	0.044228375131934	arcA	3.1108918	0.0	anr	1.1627506	4.6751854590449916e-54	sucC	2.6149895	0.0	lasB	0.11444127	0.045897962100691185	rpoS	0.24605614	1.7125017459073454e-07	rbsA	3.5016387	4.297175690871091e-45	rhlA	1.2020172	8.974526706283157e-96	pstS	4.992258	1.9801646897833373e-166	rhlA	0.58936745	8.482364382879341e-26	lasB	0.21320727	0.0032993535086788977	sucC	2.4809403	2.998972279587675e-168	OxyR	1.2274604	9.726792529557637e-09	aprA	1.4495546	9.012258970421038e-26	lasA	0.98935795	0.00025222424419203536	mexF	1.3474646	0.5696546230015842
4	clpX	1.6623127	0.0	rpoS	1.7420096	0.0	rho	0.32690245	5.1665385033003534e-08	rpoS	1.4714192	0.0	phzH	-2.0279303	0.0002494802766416362	sodB	1.6697555	0.0	dnr	2.090936	1.2886351409202506e-42	clpX	1.7580701	0.0	rpoS	0.04263282	0.34456153982925186	lasB	0.30225536	1.2762925712495817e-06	wspR	2.1637492	6.436338496086547e-45	lasA	2.00299	1.3043433088497515e-52	pyrG	1.1893033	2.2606698650615964e-63	lasB	0.6029199	7.67268014564668e-18	rpoS	0.1455274	0.01051368049249605	pyrG	2.4043922	1.336799013449503e-150	vgrG	2.2904716	0.0010990752737157848	lasB	1.3159766	3.188429534917264e-22	algU	3.3232853	0.0005237025153987522	amrB	0.8265561	0.6183763444314523
5	pyrG	2.1263998	0.0	nosZ	7.4866605	0.0	truB	0.3423263	1.421548961904736e-07	lasR	1.3605043	6.959587654111512e-233	impC	-0.6198445	1.6607140025771523e-07	ccoN2	4.9903293	0.0	aprA	0.6494148	2.0093335245921828e-32	pscC	5.972738	0.0	ptsP	-0.13011695	0.31645060508841405	aprA	0.3037062	3.4384106411423087e-06	uspM	2.3969705	6.160869748435136e-44	lasB	1.1866416	6.063374955064332e-42	truB	1.7750753	2.4014264246522567e-54	rhlI	1.2787362	1.2388275662784953e-15	PA14_48930	0.6749771	0.31966798555352915	rpoD	2.356335	3.5692281342087714e-136	rpoS	0.25515366	0.0011345913448744956	rpoS	0.70644504	5.384721115761475e-13	rpoS	0.43840116	0.0005237025153987522	vgrG	0.98775953	0.6504393873480667
6	pnp	2.3791292	0.0	hcnC	2.2021623	0.0	pnp	0.15714003	0.00018850277548583847	phzE1	1.7749782	5.1830820081380644e-229	lasR	-0.23811117	2.189435303438024e-08	sucC	1.6331183	0.0	pqsH	1.0304854	1.0998439174537245e-24	pyrG	2.0276124	5.39161543944736e-308	aprA	-0.1056835	0.07824217721628021	lasA	0.43033457	3.3563831629018305e-05	ackA	2.083323	1.7045139526079291e-34	rhlI	0.9600226	3.665939023861434e-07	pnp	1.1904753	1.8621630659945426e-47	aprA	0.40151432	8.937127302838765e-08	spoT	-1.0234132	0.31966798555352915	clpX	1.6977276	2.1545015162965113e-133	lasB	0.3160041	0.0017519735339189568	lasA	1.4787263	3.701207205150151e-11	aprA	0.4881483	0.004072806726843075	rhlA	0.09914461	0.6504393873480667
7	sodB	1.5572394	0.0	sodB	1.1823336	0.0	suhB	0.14434075	0.008268867444690164	impC	2.5195289	5.267187707269464e-95	PA14_48930	-1.6219993	6.198006428352274e-09	pqsC	3.5670495	4.80402636e-315	lasB	0.4978817	7.716125039738633e-22	rpoD	2.0198102	1.5009939226689414e-260	sigX	-0.18559127	0.012864790048015409	PA14_48930	0.18300231	0.6904799435324793	gpD	3.1243045	2.5793264812278333e-25	rhlR	0.8088892	3.9484190956277385e-05	rho	1.476906	2.9365282690034592e-46	katA	0.6032436	1.1447331801311348e-06	phzE1	-0.09364885	0.3144407062228394	pnp	2.4459915	5.649105795173763e-106	lasI	0.25411305	0.2973255328546658	lasR	0.7095754	1.892120848782441e-09	katB	1.448781	0.39593312222516786	exoT	0.3019167	0.6504393873480667
8	rpoD	2.0732784	0.0	arcA	1.8594892	3.5955785420752004e-302	rpoD	0.08506864	0.05281278947923341	hcnC	0.9430529	1.248164858810423e-71	spoT	-20.327518	4.030460678159459e-16	rpsC	1.3298503	9.6127538805e-314	rpoS	0.32141685	2.025359266934393e-15	pnp	2.0780656	1.476891306729264e-245	lasR	-0.32058114	6.600808038487387e-08	spoT	-1.6071568	0.05632222820057003	kgtP	2.501938	9.815765769593483e-24	rbsA	1.163398	4.232484307312186e-05	suhB	1.2065794	1.6977072183760937e-34	gshB	0.48069713	0.017713592776128093	pelA	-1.2383764	0.19527442171533116	suhB	2.6700873	9.756118112406924e-106	aprA	0.037114453	0.7312596671795686	phzE1	0.8671745	3.358064028267143e-08	uspA	0.14748979	0.5106857090944937	pelA	1.1421632	0.720871666684566
9	suhB	2.5094218	0.0	lasB	1.5838549	9.59941021772902e-284	ahpF	0.107228264	0.6188395826337081	arcA	0.938832	9.520921190330371e-70	pelA	-20.539816	2.048207748649006e-19	atpA	1.4126229	1.5365609089784353e-302	lasR	0.23579144	5.78827035595903e-06	sodB	1.4349823	3.761035634841452e-232	lasA	-0.52851677	1.4442837564194222e-08	amrB	-0.89987344	0.03038929291480698	lasB	0.4359389	5.772508704260774e-11	fnr_2	0.6271489	0.0028449345805652113	atpA	0.690928	1.429054243430113e-32	phzM	0.38250473	0.03639470928289004	vgrG	-0.756832	0.18667812166478928	kgtP	5.109847	2.330193129394636e-97	phzH	-0.41841695	0.7394830066425686	pscC	1.0662291	0.00042399814122567365	lasR	0.09103868	0.5806420366399246	katB	0.5813052	0.8371839461434737
10	pilA	1.6057245	0.0	phzM	4.8637915	1.479768542449757e-261	sucC	0.008039115	0.8032107433606077	uspA	0.97594875	4.902714542154101e-64	katB	-21.095337	1.6083868610290782e-24	vfr	2.1325898	4.5690657078711974e-282	lasA	0.23198642	0.008182366497763318	exoT	4.5207143	3.921796079241576e-198	PA14_48930	-2.2259066	1.6840660483409372e-09	pelA	-1.822122	0.019066129676672407	lasA	0.68803465	4.3577974888791087e-10	PA14_48930	1.9642516	0.020860117165115086	sigX	1.2141991	1.6998480808292044e-32	phzH	0.65982205	0.4771600654957239	katB	-1.7992449	0.02021847110032319	truB	2.9054255	2.5423686088348095e-92	ahpF	-0.60302943	0.22968618416186104	arcA	0.39523172	0.015474489699416616	phzE1	-0.0017605443	0.9924602436699009	fliA	0.095771246	0.8799459462592978
11	rne	2.0260987	0.0	ccoN4	2.7848575	3.511764517837381e-232	pelA	0.13170137	0.8032107433606077	katA	1.3695861	1.247170970660001e-57	mexF	-21.710798	6.108226291686604e-40	uspA	2.448287	5.958744873562722e-262	ccoN4	0.21399249	0.060731738644989465	pcrD	6.8639574	2.3301823379055943e-195	algU	-2.6187372	2.8142269227072254e-10	vgrG	-1.3410245	0.003903709570623106	amrB	3.139732	7.712054491442187e-09	phzH	1.8912208	0.039067024566863506	rpoD	0.7330034	1.0709032761170662e-21	lasA	0.05938078	0.6129356916439999	lasR	-0.1917542	0.009630037035326751	rho	2.4814684	2.3481787241666112e-88	lasA	-0.2209729	0.17302054666700742	katA	0.59903365	0.019765457797259592	arcA	-0.0256882	0.901438766158077	purF	0.28892303	0.8807622908596358
12	rpoN	1.9653556	0.0	gltB	1.6202122	2.397612029198659e-229	clpX	-0.04185824	0.15319624512890104	ccoN4	1.3925534	5.308959139997128e-53	phzE1	-0.7765905	5.257955532141995e-49	fliC	2.1275132	6.096229061900544e-230	uspM	0.14295463	0.35276585829509693	ccoN1	2.497158	1.6720397921620036e-179	mexF	-3.1209636	1.6780277585621743e-10	impC	-0.6156076	0.00026319005961271185	rpoS	0.23829415	2.184335968436479e-06	pqsH	0.2814855	0.042104759277497995	sucC	0.5327323	2.90689342299792e-18	rpoS	-0.0062888013	0.9095584652029343	lasA	-0.5801864	2.496481690123436e-06	ccoN1	2.9582276	3.316813538721473e-84	impC	-0.4094082	0.14012386276357977	impC	0.80457544	0.021771665634722624	uspM	-0.11679586	0.8131884226197075	dnaA	0.05571826	0.8898450418698368
13	lysC	2.0574274	0.0	uspA	1.8077756	5.536897145905516e-220	lysC	-0.10016029	0.05200194058435528	pqsH	1.1634094	2.2692764039310087e-44	vgrG	-22.06633	1.1523651141632217e-51	gltB	2.0613031	4.859400698784291e-214	phzE1	0.05352661	0.41190609908538806	suhB	2.19762	5.440655697273964e-173	spoT	-20.262308	4.275486645559093e-16	lasR	-0.24054079	0.0001436522614212634	impC	0.71608496	7.722173355736818e-05	gpD	0.33245188	0.3936860240546273	clpX	0.41057372	3.837478931809898e-15	phzE1	-0.080427535	0.364516445620676	purF	-3.098554	2.3900377575068532e-11	rpoN	2.253919	1.34757905868544e-81	lasR	-0.23001117	0.02077069721257186	hcnC	0.29757556	0.05690390495537322	ahpF	-0.5043912	0.4984030532260884	lasA	0.037480403	0.9248723132028426
14	ccoN1	2.1639059	0.0	fliC	1.5865322	8.210037067463486e-215	mexF	-0.74463224	0.04487039690792957	napA	1.6752769	2.79822476914969e-38	arcA	-0.806587	8.421932164535942e-51	clpX	1.044769	3.9772962097929386e-188	PA14_48930	-0.022691058	0.9514497869078977	rpoN	1.9097207	6.987364501232437e-173	pelA	-20.474598	2.1755303276384234e-19	ccoN4	-0.6889637	7.823672170963447e-08	aprA	0.16947877	0.01125406957825131	cysA	0.18968987	0.4966965150111944	pilA	0.5059936	4.565297269415406e-13	vgrG	-1.2812675	0.018237011056490345	ccoN4	-1.2317344	5.176885526832438e-15	fnr_2	3.8397565	2.6225539950457036e-80	algU	-2.0521572	0.002680242183842646	rhlR	0.53082246	0.14329291478089137	katA	-0.4360773	0.13556042718524386	gpD	0.1068882	0.9248723132028426
15	recA	1.9025992	0.0	lasR	1.1707011	1.0282125986436182e-206	rpoN	-0.113598086	0.017925829773456615	rhlR	1.2464443	3.4296245340955793e-25	amrB	-22.441763	2.094649560189982e-52	narG	6.2247586	2.8531753322224136e-167	phzH	-0.40407184	0.5409779484552125	lysC	1.8245754	2.905164679083731e-162	phzH	-20.523817	4.8387734739997157e-20	mexF	-3.002381	2.6839596049424072e-09	algD	1.1495434	0.025734345336254995	mvfR	0.09539002	0.5421006707035381	rpoN	0.5876576	1.2291645681645394e-10	ahpF	-1.4960339	7.951382259814025e-06	arcA	-0.8100157	2.5352623635734926e-19	lysC	2.0558975	2.0664534581594685e-80	pqsH	-0.7814222	3.9311191296744704e-05	uspA	0.22373745	0.1915054166063848	fliA	-0.4764499	0.1053294044066048	wspR	0.030272992	0.9566036197687771
16	mexB	2.0159705	0.0	rhlA	0.9879362	3.1385713046306766e-207	ilvI	-0.33069128	0.01240428124275319	gltB	0.40426415	7.915862596622932e-15	algD	-22.848812	9.804798745048634e-53	spuD	1.6474637	3.767343676607305e-165	napA	-0.12790339	0.4107187937825748	rne	1.7774917	7.135669589331916e-156	katB	-21.030096	1.7327418298953817e-24	napA	-1.2367191	7.49456146785551e-12	PA14_48930	0.9484149	0.046940989257694556	uspM	0.05849526	0.7680452169678257	lysC	0.5942998	1.5788636826423807e-10	lasR	-0.33086643	4.022049585747346e-06	phzH	-20.499725	4.90193109733931e-20	sodB	1.4191082	1.6110607658662323e-78	rhlI	-1.1553885	1.1640402744333094e-07	PA14_48930	1.2120142	0.29868758317940836	PA14_48930	-1.4976139	0.08346303602328933	atpA	-0.008229133	0.9601493488245184
17	rho	1.9392233	7.647003719972596e-309	katA	2.6146595	3.795087275820236e-192	ftsH	-0.21268162	0.00430903636905663	phzH	2.3194814	4.410346957430387e-05	algU	-22.211987	3.619299150859236e-55	rpoH	1.465454	8.926491300161188e-152	rbsA	-0.43164837	0.05529603109324551	pilA	1.2799258	2.0060348839649445e-139	ftsH	-1.325331	5.227050420193959e-38	uspA	-0.533551	7.297882456430818e-12	pslG	0.15378977	0.32608457961142107	pvdF	-0.21352509	0.6166209592788165	ccoN1	0.4622842	4.549772000102982e-05	PA14_48930	-2.2434435	2.510532197984132e-08	gpD	-2.8518689	3.5611348750572933e-20	rne	1.964421	5.999670572607632e-76	uspA	-0.6972355	1.6459692246742968e-08	napA	0.40611798	0.30943757188518256	hcnC	-0.38326153	0.05578235361515121	ftsH	-0.02407397	0.9566036197687771
18	htpX	1.7231722	3.282007881981636e-227	spuD	1.1922582	3.185892014738767e-136	amrB	-0.96973395	0.003216179526821759	pqsC	0.1753943	0.01483666397530909	uspA	-0.84666884	3.426600920699333e-55	rpoS	0.9046918	1.6722042192011135e-106	arcA	-0.19806632	0.002119499354518006	rho	2.0032473	1.2780110938188117e-133	arcA	-0.97396165	9.774049134767968e-40	phzE1	-0.5566345	3.8536814584047594e-13	lasR	0.059674993	0.37390868348669987	amrB	-0.34989843	0.470080247000905	dnaA	0.41358483	0.00012896499387593443	arcA	-0.5005768	1.1643729033238165e-08	uspA	-0.8784822	1.4854357284247579e-21	sigX	2.5201864	5.137601574982631e-75	rhlR	-1.7429342	2.8444689554782563e-11	phzH	1.5075504	0.41072900233025444	napA	-0.9753161	0.03805676467994514	algD	-0.17427664	0.9041063136996467
19	truB	1.7554013	6.539061008785491e-222	vfr	1.069402	3.016551318450227e-126	katB	-1.372942	0.002417681330843757	sigX	0.10621077	0.07656458199383948	purF	-22.388039	2.0659490782344405e-64	htpX	1.7009925	1.2281873020385844e-101	algU	-1.2477566	0.0008516984796670972	sigX	1.7549942	1.3663723441504768e-113	phzE1	-0.97332805	7.999053766667696e-41	arcA	-0.62169987	6.311525853639287e-16	pqsH	0.088140674	0.5000992132678077	katB	-0.6421177	0.470080247000905	pelA	2.926197	0.0007871381269093313	impC	-1.2972138	5.119676529039301e-13	hcnC	-0.8581193	1.1567357243935233e-21	dnaA	2.55494	1.0874869781518231e-73	gshB	-1.7596397	1.5379976506406254e-11	ccoN4	0.20988648	0.45138031875895956	ackA	-0.9062835	0.03200249620595882	kgtP	-0.11716998	0.9041063136996467
20	dnaA	1.4329095	2.384242807192322e-190	pqsH	1.6300582	1.406627218705361e-102	OxyR	-0.32590804	0.0004654572651191111	anr	0.076859035	0.2518442260129278	gpD	-4.0416865	2.9000676452389476e-76	aceA	1.8090904	2.3957017616715327e-100	impC	-0.621583	2.0911668519319726e-05	truB	1.9928963	9.332676299360773e-112	ccoN4	-1.7645417	1.1597713477329348e-46	algD	-3.1406174	2.1016743850451857e-17	phzH	0.25912905	0.746500130026788	algU	-0.58857256	0.4495365587168871	ftsH	0.42848977	0.002730479408440059	uspA	-0.6876621	3.701638478246443e-14	impC	-1.7573253	5.92942074797702e-22	ftsH	2.9841785	1.655807211530931e-65	phzE1	-0.85424006	3.4180566582979004e-12	rbsA	0.3291816	0.533099796040641	rhlR	-0.96141714	0.026264290322633912	rpoN	-0.05103225	0.8898450418698368
21	rpoH	0.9810609	1.1080603815613848e-167	napA	2.4510133	1.2709062144666541e-85	sigX	-0.21422124	0.0001008535059898965	wspR	0.084348604	0.4445428765845399	pvdF	-23.372486	2.8137472057920566e-81	nirS	1.3386786	3.515505906996655e-96	ackA	-0.6466061	1.2317872906777785e-05	dnaA	1.8387929	2.472182902408901e-109	impC	-2.2463915	1.3844661729441805e-47	phzH	-20.518917	5.087642530343955e-20	phzE1	-0.044553887	0.5880410087136871	fliA	-0.15838368	0.2813463431817654	rhlI	0.47482017	0.009823790070707513	spoT	-20.241083	4.490959466866177e-16	fliA	-1.3463244	1.5577005517622153e-25	rpoH	1.9559914	2.8072212529658076e-65	arcA	-0.84996706	1.2998222376880474e-12	gshB	0.172663	0.6462686459182567	narG	-1.4508405	0.019626414949757788	fnr_2	-0.17416947	0.8164915620416906
22	vfr	0.93867046	8.224052108041915e-135	rhlR	2.1476612	8.993900692845313e-78	PA14_48930	-1.1914247	7.135267489739963e-05	PA14_48930	0.076472566	0.8273477519141118	hcnC	-1.079159	2.2182856341343326e-93	rpoD	1.0711133	1.066579722068529e-87	katB	-2.9655507	7.927882751756512e-08	mexB	1.8597504	7.881789597768256e-108	uspA	-1.1018828	3.3306069565759835e-49	pqsH	-1.1795895	1.3118564242513189e-23	narG	-0.18497619	0.4981119720329805	ccoN4	-0.17771274	0.25013085684504915	recA	0.24544501	0.012699772642908322	pelA	-20.453371	2.3163119791816653e-19	rhlR	-2.0805194	2.538362109287014e-26	pilA	1.4460322	1.660005585554855e-62	pvdF	-3.215246	3.099475557552429e-13	spoT	0.37428612	0.8288930691626544	rbsA	-1.6254866	0.0061162847595008195	PA14_48930	-0.34637192	0.8144264331508246
23	fadB	1.019348	2.00714044113429e-117	impC	2.0559957	4.9789703109363034e-76	vgrG	-1.5001829	2.4152434723903326e-06	fliA	0.007934988	0.9229703522167483	narG	-4.045674	1.4174218484076292e-107	katA	1.9806856	2.3009390554723048e-82	spuD	-0.3592726	7.764709393667157e-08	rpoH	1.3649777	1.6651464901466318e-107	vgrG	-22.001022	1.3294969662722954e-51	katB	-21.025196	1.8717747607904615e-24	pelA	-1.0672567	0.30563960909946847	ackA	-0.23195553	0.24698907137619894	ilvI	0.56147623	0.01980744761834869	pqsH	-1.3045883	9.023750891912672e-22	ahpF	-3.329598	8.204182298711982e-27	mexB	2.1457822	1.1014261984208581e-54	rbsA	-2.3598335	3.985664312330503e-14	pqsH	0.03654345	0.8712774434887306	spuD	-0.61527073	0.004344123235572834	fliC	-0.0868734	0.7847179426096481
24	lasI	2.5301368	1.5506599246103124e-113	uspM	2.0503175	5.421014616599843e-75	spoT	-2.9660258	1.1987452907347945e-06	spoT	-0.15070099	0.8273477519141118	TriC	-23.392363	6.562574015222064e-118	uspM	2.531753	1.2047167656624571e-77	rhlR	-0.77603674	4.843060658586362e-08	exoY	4.212377	7.844062854534233e-95	amrB	-22.376413	2.4217350311239442e-52	dnaA	-0.87972945	1.7973625173236e-24	arcA	-0.124429084	0.1298914783166291	impC	-0.27915674	0.16963296822151586	ahpF	0.78450054	0.031300001049156055	katB	-21.008863	1.8484969497762788e-24	gshB	-2.3182938	6.566899133227885e-29	recA	2.0029607	6.434195993140366e-53	TriC	-3.2351463	3.074449575923302e-14	katB	-0.4015352	0.76665875178288	pqsH	-0.93552405	0.0023497552984321343	lasB	-0.0795182	0.7847179426096481
25	aceA	1.0990814	1.2816783703120547e-86	pqsC	1.2507902	7.133625592159812e-75	purF	-1.533291	7.07239850129786e-08	spuD	-0.04761839	0.39138427249714924	ahpF	-23.61917	2.6726088577995855e-120	dnr	2.6163032	1.0782368306654368e-76	TriC	-1.6583942	2.4483404976888138e-11	recA	1.5349182	2.7254979772848306e-85	algD	-22.783403	1.135759499829164e-52	gpD	-2.867712	4.21860931434336e-25	katB	-1.290863	0.05795825544798121	algD	-0.811669	0.14311208263918923	OxyR	0.22954004	0.19936049987953913	rbsA	-2.7459986	1.9875709611478098e-32	napA	-2.5344794	1.3058450714295671e-33	lon	3.3159075	3.964342772884096e-47	ptsP	-1.636393	3.426532927832804e-14	algD	-0.3090783	0.7124029662094473	ccoN4	-1.0470186	0.0012344562785858786	mexB	-0.12832919	0.7638944262837953
26	lon	1.904683	6.559780689852457e-82	anr	1.009835	3.8051924017228655e-67	algU	-1.651021	5.9310091428194516e-08	rhlI	-0.12927593	0.22207689410139184	sodM	-24.121479	7.138094234254283e-150	recA	1.2480966	5.479040573111902e-71	hcnC	-0.44544044	4.522947296165722e-12	htpX	1.5987989	5.3935305483459065e-77	purF	-22.322695	2.389963742033102e-64	ahpF	-3.067989	9.247429886954071e-26	ccoN4	-0.38014525	0.006595518790438316	pelA	-1.4702433	0.1053609780626533	mexF	0.79186404	0.20941424960689706	fliA	-1.6066201	1.4141416195416812e-35	TriC	-4.104966	3.314290702249447e-37	OxyR	2.7618818	5.052763673043453e-44	ackA	-1.8059957	6.374225169383992e-15	pcrD	-0.18740095	0.6804359961522944	fadB	-0.78823155	9.299723054082702e-05	rhlR	-0.2205098	0.7549411333200091
27	sigX	0.84402734	1.5267201976659952e-77	ackA	1.7817476	1.9006450496865716e-59	gshB	-0.85941327	1.5031813018164307e-13	algD	-0.39757213	0.18968804779690027	cdrA	-24.068644	6.865086141562958e-165	ackA	2.3554568	2.4342372664200996e-70	gpD	-1.8679007	1.7262092260559574e-13	lon	2.6321466	6.045599694201428e-62	ilvI	-3.0489585	3.374265896121862e-63	hcnC	-0.86159784	1.3741988368053364e-30	norB	-0.35708207	0.006314207316250483	wspR	-0.3360274	0.07400699070374202	relA	0.16736926	0.32426672944360935	mexF	-21.624275	7.48210680877681e-40	rhlI	-2.158919	1.1650801182387107e-37	fadB	1.5211788	1.7202815358061667e-40	spoT	-20.220573	4.991752937369009e-16	TriC	-0.37137163	0.5497292399680292	phzM	-1.5853003	2.4902127884568715e-05	dnr	-0.24936408	0.720871666684566
28	ftsH	1.0336617	1.2385444121234983e-63	ccoN2	1.4918578	4.053161157406056e-56	recA	-0.40795684	4.70862336050935e-14	TriC	-0.31623843	0.16126872361766406	rbsA	-6.992621	1.6821135812638862e-172	ftsH	1.5778089	7.253832992933081e-64	vgrG	-2.936046	3.293747885981311e-14	vfr	0.9628282	1.4256180083333987e-50	truB	-1.7295921	6.927675920694e-68	rhlR	-2.1125307	7.201118320248452e-38	rhlR	-0.5634137	0.0016024902659680538	vgrG	-1.1495396	0.05504768670331166	purF	0.306271	0.5652071248265651	TriC	-4.2079906	5.767072182591507e-41	mexF	-21.621407	7.70175181193342e-40	ilvI	3.2726176	1.351433863422875e-37	pelA	-20.432861	2.6198664375314865e-19	pslG	-0.277507	0.3689771829408212	norB	-1.2409738	2.3811049609771945e-05	pnp	-0.13329561	0.6802046321773731
29	anr	0.68779224	3.8239964678342865e-44	rhlI	1.435048	7.192081325888721e-50	ptsP	-0.7522332	9.259332254465927e-16	katB	-0.77898234	0.09410855064319215	lasA	-2.018767	5.989189304961771e-175	pnp	0.87999547	1.7636851976628817e-62	spoT	-20.28563	4.786524130015075e-16	ftsH	1.5434375	2.5530425872747855e-46	gshB	-2.8491504	2.9559586206258854e-69	rbsA	-3.003692	1.0920010656623992e-48	uspA	-0.29962856	0.0003698767885449359	pslG	-0.3422416	0.042818497413412544	amrB	0.30339175	0.572625616825631	dnr	-2.6741686	2.4235201041609745e-43	rbsA	-3.230806	1.4563572161559364e-42	vfr	1.3585626	8.41924242001626e-37	pqsC	-1.6102827	3.45854770072911e-21	anr	-0.19495861	0.32850011993910955	dnr	-2.2744033	7.17255163841798e-07	pyrG	-0.114870474	0.6742819090806207
30	fliA	0.8012429	8.82734697264932e-37	mvfR	1.133245	1.1675704020062826e-38	rhlI	-0.83822453	6.734821052392468e-17	uspM	-0.20787868	0.08897472369402845	pcrD	-24.430325	7.39733426268758e-200	fadB	1.0884769	2.5856059809428155e-58	wspR	-1.1809683	8.951773631667254e-19	fadB	0.84507835	2.0793365084976284e-32	gpD	-4.954651	5.091032775988983e-73	algU	-22.141756	4.399926698439704e-55	mexF	-1.9142611	0.000353265262572457	uspA	-0.21523352	0.04157353895378604	spoT	0.41837388	0.6811500429870461	wspR	-2.302179	2.9371664229636636e-43	spuD	-1.3604141	3.4468815859777623e-44	htpX	1.7214888	2.88137442152029e-34	napA	-2.6687095	1.987989430338519e-22	rhlI	-0.3279133	0.3274437446356884	exoT	-1.9083935	5.30968166097057e-07	aceA	-0.19450046	0.6504393873480667
31	relA	0.95167845	5.183691057350785e-36	pilA	0.44004697	2.478871138323597e-33	mexB	-0.51698	4.342319315782433e-17	rbsA	-0.32520765	0.07656458199383948	kgtP	-7.117148	1.4391622417373214e-202	anr	1.1319649	3.322037298085007e-54	pelA	-20.497921	2.47196976979714e-19	aceA	1.0451763	1.2955617202406528e-31	pvdF	-23.306973	3.422629055415444e-81	fnr_2	-2.640784	2.0892298665601726e-53	purF	-1.5870067	0.00020380468922475946	TriC	-0.8501836	0.01304416384846868	rpoH	0.0016839727	0.9834698362252305	gltB	-1.1980274	6.043543807093474e-45	amrB	-22.352274	2.7391672392946504e-52	ptsP	2.2734244	1.7330998520339492e-30	katB	-20.988346	2.163279942252464e-24	ahpF	-0.59976894	0.2988644875745118	pqsC	-1.270535	4.5008469896050324e-07	ptsP	-0.33483994	0.597939154089458
32	fliC	0.5163715	9.177186367529106e-34	rpoH	0.44965494	4.8174623852882305e-25	phzH	-20.605894	5.90748852028943e-20	ptsP	-0.20044559	0.04403869405680703	exoY	-24.43145	1.292823613728807e-210	lysC	0.9429354	5.299330683246553e-48	uspA	-0.6208047	1.809870359834028e-21	fliA	1.2538886	2.2700838409852233e-31	hcnC	-1.3692087	4.8703351216091066e-79	cysA	-3.2182631	7.703393979477968e-59	algU	-2.0463586	6.640341287892424e-05	rpoH	-0.22521272	0.011048528402179025	anr	-0.025995234	0.8071982295345678	hcnC	-1.2203724	5.4161378629669676e-45	algD	-22.759243	1.2869888147887759e-52	relA	2.2729166	1.049690987904768e-28	relA	-2.1817493	7.932746339035223e-24	gpD	-0.78667	0.19983910229236596	rhlI	-1.689841	3.5298613186898707e-07	pqsC	-0.24949838	0.5696546230015842
