	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p	19_n	19_l	19_p
64	pqsH	-0.55071723	4.2772727250453985e-18	cysA	-0.29015395	0.03816109508108358	relA	-2.6893067	3.1968458739465517e-172	aceA	-1.0154492	1.063376048856505e-46	pslG	-7.386795	0.0	katB	0.64212227	0.3223473765422564	OxyR	-3.1300156	1.0388893436441704e-157	rhlI	-0.20724636	0.12940182020261495	norB	-3.3807673	1.3441908132387445e-242	kgtP	-24.575531	1.006142433029336e-215	sigX	-1.4668727	1.7289825445751257e-65	mexF	-21.62815	1.3972904052183322e-39	mvfR	-1.2494721	2.388990944755812e-17	cdrA	-23.98153	2.0829148298249832e-164	narG	-24.552988	9.476157023327457e-191	lasI	0.65725195	0.014402535406491883	rne	-2.4135249	3.62325458701398e-77	rne	-1.0707943	1.2884607758465876e-10	vfr	-2.103215	1.786527723068551e-29	ccoN1	-0.7460587	0.018272202600062973
65	pscC	-0.845902	2.4624553326198165e-21	amrB	-0.6001789	0.03547990400792509	rhlR	-3.6741438	2.7618625580842854e-190	pchF	-2.036256	8.717182365159462e-60	mvfR	-6.8686466	0.0	PA14_48930	0.33240134	0.37997375766246916	exoT	-3.600077	6.742967814778811e-174	fliC	-0.11362783	0.09863395007775956	pchF	-6.7922735	7.89152578955417e-293	pslG	-4.080947	7.027134440778943e-210	pscC	-2.7528794	6.113426509894811e-68	pscC	-2.667459	1.861563323766343e-40	exoT	-1.5361611	1.5946214063814331e-18	clpX	-1.5661893	1.8880671178378236e-136	nosZ	-4.483966	1.276807391494121e-178	cdrA	0.8493777	0.02856871452788005	phzM	-4.281222	3.24566419296442e-86	kgtP	-2.3726115	3.8946554726955e-11	mexF	-21.590548	1.9052157573001347e-39	impC	-1.2128348	0.017107104589221933
66	algD	-3.50169	3.0222990605873187e-33	narG	-0.356369	0.021514606987837092	pscC	-3.6332924	1.5715571116939602e-198	exoT	-1.8073584	8.717182365159462e-60	dnaA	-3.3817067	0.0	ccoN4	0.073065355	0.5028441722138476	rpoH	-1.5161331	1.007483153607363e-166	cdrA	-0.6330374	0.005010451653572111	lasI	-6.108496	1.7036553502898346e-298	OxyR	-4.0796056	5.722675229504783e-211	nosZ	-3.0489967	8.063813140020622e-70	fliC	-1.2592157	4.391311940669984e-47	phzH	-20.504974	9.452296106131266e-20	mexB	-2.7817955	1.43064264497297e-147	pcrD	-24.34011	2.79384312394602e-199	dnr	0.25659257	0.29838152465690426	rho	-2.879141	1.4815705209759976e-79	norB	-1.5448549	7.271950106913164e-12	pscC	-3.9495935	5.143440550515752e-32	ahpF	-1.9513242	0.015971222431636695
67	ackA	-1.2113606	3.250506473501925e-40	mexF	-0.80440027	0.01931352431100103	lasI	-3.7931511	5.837177059415208e-205	dnaA	-1.0483422	1.5364817849907987e-61	pilA	-2.06091	0.0	exoY	0.09328786	0.6434756085182982	ftsH	-2.5798674	6.662350896211945e-175	PA14_48930	-1.0691568	0.0032344109410550534	rpoD	-2.401898	1.2464385634918443e-251	clpX	-1.616444	4.2102158559838075e-193	rho	-1.8043503	9.003202871403062e-69	ccoN1	-1.7491467	1.2283455045600023e-47	dnr	-1.8803287	1.0709032761170662e-21	vfr	-2.1125007	5.696802767242226e-144	kgtP	-24.556118	1.5538983038361617e-215	mvfR	0.09159526	0.6165406562878407	lon	-4.2962685	4.1137359067443004e-88	truB	-1.6562215	3.226962232034344e-17	ccoN2	-3.5191429	4.821887402376188e-33	ackA	-1.1038765	0.012554183639388075
68	rbsA	-2.2095401	1.001852148409456e-52	dnaA	-0.17073381	0.0034436409973641296	fliC	-1.4787976	4.636430428864162e-196	narG	-3.1266317	5.595903080051042e-66	sodB	-1.7968247	0.0	ccoN1	0.0139462715	0.8707418356189889	sigX	-1.9895413	4.061773786221343e-181	ackA	-0.64734894	8.110286212916074e-06	exoT	-6.0516357	0.0	pchF	-5.6727	7.603701960938825e-245	lysC	-1.6619016	7.216776750800905e-73	rho	-1.6435013	9.582964950271918e-49	ackA	-1.7498438	4.879072386589706e-22	sodB	-1.6267842	2.234501387713187e-148	ackA	-5.1631036	6.855562035718451e-202	rbsA	-0.31130764	0.34729722256222545	exoT	-4.4780807	4.277648020813703e-106	sodM	-3.4368014	7.570786903460292e-18	lysC	-2.739598	1.011549695230622e-33	pilA	-0.48541737	0.012105228974587911
69	pvdF	-3.908147	7.548324879745947e-55	mexB	-0.2648274	4.817812964320831e-06	uspM	-4.3281155	2.17969268754736e-245	pstS	-2.142462	3.137055914329358e-72	clpX	-1.8967373	0.0	purF	0.017842889	0.9599903784482033	pcrD	-24.387999	2.1846240323228294e-199	pvdF	-1.3988973	6.244004756752577e-06	pslG	-4.8515916	0.0	norB	-3.470665	2.1187685022424327e-223	gltB	-1.41664	2.3548944568290474e-73	lon	-2.9085393	2.4572586122062945e-56	pslG	-1.7134703	2.2840237567834603e-24	narG	-24.555885	1.0564906891665615e-190	mexB	-3.1192384	4.4586462901473295e-187	phzH	-1.0420059	0.3085292364127558	nirS	-2.8332012	6.24063500624213e-99	pelA	-20.42627	5.83232707367678e-19	ccoN1	-2.9525461	5.216168984435882e-34	pslG	-1.1817504	0.012105228974587911
70	exoT	-1.4432968	5.142168241849617e-60	recA	-0.28023177	9.85272895053028e-08	gltB	-1.7220746	1.6129400029552887e-234	nirS	-1.0687666	6.292577400358524e-73	norB	-5.4177613	0.0	pvdF	-0.03582367	0.9172104991094356	clpX	-1.2756047	8.067458950458543e-177	sodM	-1.1833797	1.2133041971286047e-07	pscC	-6.8875813	0.0	lasI	-5.404027	8.716314263951969e-259	fliC	-1.404441	2.7949440946840536e-76	phzE1	-1.453367	3.0667821923443716e-60	narG	-2.6081512	2.3553878230081475e-25	ccoN2	-4.047971	2.6707113011062693e-177	clpX	-1.8691118	2.150451970935857e-174	lasR	-0.14764515	0.08115298997348885	ftsH	-3.4519289	2.1529128169711622e-102	cysA	-2.9605625	8.506171539244173e-18	vgrG	-21.946024	4.910232307773129e-51	lasR	-0.5053752	0.008176085680020857
71	pcrD	-2.3963757	1.594204684531773e-68	spoT	-3.203215	8.818517459452709e-08	pchF	-4.926894	1.7302670569773382e-257	lasI	-2.0030603	4.2860139279101176e-74	fliA	-5.6480026	0.0	ahpF	-0.32495067	0.18507376502438763	lon	-4.7688	9.233283564644454e-200	lasR	-0.36435866	3.785311827274256e-11	fnr_2	-7.064845	0.0	mexB	-2.8747742	1.2611594053278531e-226	pcrD	-4.059316	1.0565144940935047e-81	vfr	-1.5963392	1.5190221955425308e-70	rhlA	-0.7835864	7.613649241407984e-33	pcrD	-24.343002	3.3196999560942116e-199	sodB	-1.8061317	2.4545329684709463e-175	fliC	-0.20147638	0.0642367354207209	sodB	-1.8404535	1.4086318445256025e-97	ccoN1	-1.8429993	1.7528720464846777e-19	amrB	-22.321383	9.289284832909975e-52	clpX	-0.43638998	0.007953941123231409
72	lasR	-0.5990138	4.085992331664111e-68	ahpF	-1.0713834	2.854497383508591e-08	exoT	-4.233027	4.6862442799819055e-261	htpX	-1.3114685	2.83258434989581e-91	rne	-3.2211998	0.0	spoT	-1.1910211	0.10445806324383138	pscC	-4.1759534	2.6215635322895117e-207	pqsH	-0.6634034	2.1435790023869678e-11	sodB	-1.8075505	3.5538635519374325e-277	recA	-2.5708423	3.484100675433976e-231	ccoN2	-2.7375472	1.121286351838069e-83	nosZ	-3.4648979	2.6092493272864902e-73	pqsH	-1.6238799	2.622449494865267e-35	relA	-4.2455654	2.6750243661159742e-182	fadB	-2.935417	1.7162358766864923e-190	exoY	-0.63972	0.03738530811540154	clpX	-1.9726702	5.539487351273379e-102	mexB	-2.05346	9.437026071184477e-23	lasI	-4.171078	3.8444517054900235e-40	fadB	-0.6549381	0.006978262511597063
73	cdrA	-3.0391014	4.128678148874136e-82	pstS	-0.6308357	2.744595588718713e-08	impC	-4.4342556	3.9026933855031695e-266	norB	-1.6541516	1.3780389420331255e-99	rpoN	-3.0385034	0.0	mexF	-0.75217396	0.09949022253791961	mexB	-2.3437495	8.456510175012411e-200	rbsA	-1.951144	3.240624288195095e-20	fliA	-4.2097235	0.0	ftsH	-3.6434555	1.113640819733741e-251	lasI	-3.1020665	1.7099735772179785e-85	pqsC	-2.4164746	3.975374935785016e-75	fliC	-1.0874662	1.0812646345193607e-37	exoT	-4.865811	1.3658514054161279e-198	dnaA	-3.1785214	1.206896516523965e-196	katA	-0.5031734	0.002002882489330545	pchF	-5.2193947	1.999052995038722e-130	pilA	-1.2044777	2.2720962480281987e-24	algD	-22.728325	4.5354390765397475e-52	katA	-0.9593076	0.006100434256098233
