	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p
67	katA	-0.89408135	0.0	katA	-0.9668441	0.0	OxyR	-2.6106517	0.0	ptsP	-3.2460644	0.0	recA	-2.3911643	0.0	lon	-1.2676054	0.0	rbsA	0.10732929	0.09282030107030614	gpD	0.41436195	4.0405565045341994e-10	rpsC	-0.10834422	1.0847134297813605e-15	phzM	-0.16053528	1.269793130198664e-05	ccoN1	-2.5608633	0.0	rhlI	-0.22847737	5.6344046577081106e-12	suhB	-2.8291442	0.0	lysC	-1.595136	8.084493742816948e-288	pyrG	-1.8494552	0.0	ackA	0.2919861	0.02474693548065104	pqsC	-2.155996	0.0	pnp	-0.34662873	1.3178256089323339e-06	sigX	-1.483284	1.0249674544565695e-93
68	ccoN4	-0.73336875	0.0	exoY	-2.8845217	0.0	suhB	-2.010905	0.0	clpX	-1.8537483	0.0	lon	-3.0098748	0.0	pscC	-3.805208	0.0	lasI	0.05066883	0.12096962920485149	algD	0.73562825	1.0439608504014089e-09	recA	-0.20076981	4.595066859284542e-20	cdrA	-0.20926084	3.6602995723333623e-13	ilvI	-3.2269669	0.0	uspM	-0.5227841	6.768346093580629e-17	rhlA	-2.5797539	0.0	truB	-1.6857177	1.2390344350122496e-288	ptsP	-2.8859034	0.0	uspM	0.071030475	0.4536090769272946	vfr	-1.7937605	0.0	mexB	-0.47841936	2.1571493556857912e-07	rpoD	-1.7564559	1.0472046565049321e-98
69	pcrD	-6.5156703	0.0	lasR	-0.848667	0.0	dnaA	-1.9959565	0.0	lysC	-3.4870286	0.0	nirS	-2.7207875	0.0	lysC	-1.4738269	0.0	rpoS	0.010750798	0.3666181345134489	pnp	0.07688256	1.2384313565632098e-09	narG	-0.74319667	8.64170550893046e-22	uspA	-0.22121452	4.613189951837925e-14	fnr_2	-6.142839	0.0	uspA	-0.47808838	3.194723441027032e-49	dnaA	-2.8504858	0.0	suhB	-1.421843	0.0	pscC	-6.488147	0.0	algD	0.0767482	0.7463946612045834	pvdF	-2.648938	0.0	arcA	-0.891153	1.2354013172346e-07	nirS	-2.0950265	1.6076121443984642e-99
70	sodB	-0.42211077	0.0	uspA	-0.8892041	0.0	ilvI	-2.5740783	0.0	vfr	-2.2954707	0.0	vfr	-2.074648	0.0	katA	-1.7704562	0.0	vgrG	0.03713963	0.5078721572259168	ampC	0.61356014	0.008873896279330043	katA	-0.35822436	4.967394678628662e-27	napA	-0.48863602	1.4970096119286548e-14	rpoN	-2.378256	0.0	mvfR	-0.7587782	1.445062455618037e-53	rpoN	-2.3906713	0.0	rpoN	-1.325728	0.0	ilvI	-3.0584233	0.0	pchF	-0.0062509524	0.905404320912387	norB	-2.9505253	0.0	rhlA	-0.4288421	1.2354013172346e-07	lysC	-2.4288623	5.244849670324102e-110
71	exoT	-1.5470595	0.0	narG	-3.556722	0.0	pqsC	-2.4833858	0.0	norB	-6.0939865	0.0	lysC	-3.2058299	0.0	narG	-4.840228	0.0	kgtP	0.008181667	0.9258723512166642	mvfR	0.050198916	0.13557540531772774	pcrD	-1.376853	2.347276676369062e-34	katB	-0.69041026	1.2042307236606376e-15	rho	-3.309133	0.0	pqsH	-0.77280027	2.5688058678652057e-55	pyrG	-2.152788	0.0	uspM	-3.2132092	0.0	ccoN1	-2.4736226	0.0	katA	-0.01040464	0.8686247655000442	narG	-5.594788	0.0	fliA	-0.51564705	9.56677882485718e-08	recA	-2.11638	1.6477268875814114e-115
72	rpoS	-0.44615728	0.0	pscC	-3.3346608	0.0	sucC	-1.4408906	0.0	rho	-3.4454737	0.0	sigX	-1.8642757	0.0	recA	-1.2337655	0.0	rne	-0.034180865	0.006784388549134766	lasR	-0.0013961338	0.9526492545493134	kgtP	-1.3442322	1.3824924369952427e-39	arcA	-0.3829712	5.236707010210527e-16	pqsC	-3.2119133	0.0	rbsA	-1.7047613	1.5512828383897025e-70	lysC	-3.3641925	0.0	ptsP	-1.8134737	0.0	suhB	-2.8281245	0.0	ccoN4	-0.04055625	0.40043716645971095	rhlA	-1.996389	0.0	pvdF	-0.656204	3.258140511814423e-08	truB	-2.374386	2.9737174861250442e-117
73	dnr	-1.6819574	0.0	pqsC	-1.1310092	0.0	lysC	-2.96847	0.0	pqsC	-3.3399172	0.0	htpX	-2.8389447	0.0	htpX	-1.2874274	0.0	pvdF	-0.07804046	0.001923155188962421	PA14_48930	-0.10898765	0.3846851943710695	rpoA	-0.16543233	6.004028392855326e-40	pqsC	-0.2382501	5.425109756936323e-17	lon	-3.6660748	0.0	pqsC	-0.6241726	2.500589239676357e-76	pvdF	-3.787633	0.0	rpoD	-1.550337	0.0	ccoN2	-3.9767861	0.0	exoT	-0.08521705	0.32191916988178293	rpoN	-1.8722391	0.0	lon	-0.6910609	6.3663172965389e-10	suhB	-2.2052498	1.6059353575147042e-120
74	ptsP	-0.84520036	0.0	napA	-2.938362	0.0	rho	-2.8556802	0.0	pvdF	-4.6971116	0.0	ilvI	-3.4188864	0.0	mexB	-1.2438598	0.0	gltB	-0.050666865	4.177771132859472e-05	TriC	-0.042231727	0.3049334702836394	TriC	-0.7277846	7.367415300361185e-57	amrB	-0.91002023	1.3714995375323973e-22	ccoN3	-6.7233224	0.0	impC	-1.3793675	3.407699804834696e-103	sucC	-2.0148845	0.0	pnp	-1.4049953	0.0	rho	-3.30895	0.0	exoY	-0.31481922	0.03392420139418891	pyrG	-1.7337846	0.0	sodM	-0.6805711	5.914532315575637e-12	rpoN	-1.938184	3.925017418570995e-130
75	exoY	-3.6654725	0.0	rhlR	-1.1476699	0.0	ptsP	-2.9247835	0.0	lon	-3.989226	0.0	fadB	-3.550069	0.0	ftsH	-1.2865988	0.0	dnaA	-0.08212458	3.694288718446545e-06	ahpF	-0.07326178	0.034746560631652997	OxyR	-0.4915406	1.0304464498827046e-69	uspM	-0.5984466	3.4406366789304286e-24	fadB	-3.5597174	0.0	rhlR	-0.80953807	2.104446606035865e-172	ccoN3	-5.521169	0.0	sucC	-1.1456003	0.0	norB	-4.0725856	0.0	rhlA	-0.08867343	0.013325851565420333	recA	-2.262024	0.0	aceA	-0.75797004	5.001996118354157e-14	ccoN3	-3.7039664	3.1876224724311675e-133
76	aceA	-0.9966913	0.0	coxA	-3.8932574	0.0	ccoN2	-4.979054	0.0	truB	-3.853732	0.0	truB	-4.144081	0.0	sigX	-1.0659546	0.0	algD	-0.77274173	3.0514530021026014e-12	pstS	-0.09347693	0.013716349498755798	ahpF	-0.72619843	3.668786554686489e-77	katA	-0.4459051	8.139313960142048e-31	ptsP	-3.667018	0.0	cdrA	-0.83375806	2.7064854006636024e-182	ccoN1	-2.7733567	0.0	fliC	-1.7263881	0.0	pilA	-2.4041493	0.0	amrB	-0.4592112	0.0006703951104130429	pilA	-1.981351	0.0	ccoN2	-1.0554178	3.663363555085722e-14	ilvI	-2.7446716	2.2886944993440955e-143
77	impC	-2.457225	0.0	impC	-4.6061277	0.0	nosZ	-6.659954	0.0	pchF	-5.481832	0.0	rho	-3.8806956	0.0	clpX	-0.9665716	0.0	impC	-0.3007235	1.6270204027174336e-12	rbsA	-0.22084244	0.0018315907253642438	ftsH	-0.38469118	3.9683661012036656e-83	rhlR	-0.37782896	1.0553042883318867e-42	pilA	-2.7050817	0.0	narG	-3.190734	1.659100885324197e-257	ccoN2	-4.2009735	0.0	lon	-2.1413898	0.0	lysC	-3.4613235	0.0	pcrD	-0.70256674	0.0006546546717437626	pcrD	-22.630842	0.0	nosZ	-1.0472916	9.687239741483201e-15	clpX	-1.8017305	9.036780750177828e-143
78	pscC	-5.8499713	0.0	cdrA	-1.9382828	0.0	lon	-3.668729	0.0	pyrG	-2.2060711	0.0	mexB	-3.3006167	0.0	rpoD	-1.293623	0.0	aceA	-0.1857791	1.238075680566203e-18	pcrD	-0.42718238	3.402241066621853e-05	rpoH	-0.30242	1.6706190740149586e-87	hcnC	-0.37991107	6.992194242854261e-45	nosZ	-4.955076	0.0	napA	-2.5190132	0.0	ptsP	-3.5402434	0.0	pqsC	-1.8991301	0.0	rpoN	-2.5136285	0.0	aceA	-0.15899523	0.00022177244385142327	lon	-2.7599301	0.0	phzE1	-0.6567326	2.143468145870128e-15	rne	-1.80763	3.333375890432243e-151
79	uspM	-2.7390225	0.0	nirS	-2.0535882	0.0	rpoA	-1.6738285	0.0	rhlA	-2.958558	0.0	ftsH	-3.0337434	0.0	pyrG	-1.197024	0.0	sodM	-0.22048892	1.7817325980076e-24	rho	-0.09650095	5.067827707221661e-06	anr	-0.63639784	1.0112094272112007e-95	rhlA	-0.47174162	1.59414795970779e-79	fliC	-2.9779682	0.0	ccoN4	-1.6030546	0.0	pnp	-2.5224519	0.0	rpoA	-1.2903858	0.0	sucC	-2.1789758	0.0	arcA	-0.38793436	4.671530462116908e-08	sucC	-1.7518405	0.0	clpX	-0.5374968	6.343568655805516e-16	nosZ	-3.3936942	1.5621315305656518e-183
80	arcA	-2.1956773	0.0	nosZ	-4.6308327	0.0	rpoN	-2.1043758	0.0	rpoN	-2.6942637	0.0	cdrA	-3.8585055	0.0	ccoN2	-2.388069	0.0	wspR	-0.44366205	1.4550790509643397e-38	truB	-0.171252	1.549001320923085e-13	pelA	-2.7206807	6.706634883286083e-130	sodM	-0.6327015	8.551988646431792e-83	ccoN2	-4.86851	0.0	nirS	-1.764833	0.0	rpoA	-2.2612286	0.0	pscC	-4.6995444	0.0	pqsC	-3.2974432	0.0	sodM	-0.2834962	3.481507086317009e-11	coxA	-5.2444015	0.0	fadB	-0.86681134	5.11223886884357e-18	gltB	-2.065799	2.4216079993087364e-181
81	coxA	-6.693863	0.0	phzM	-3.591259	0.0	norB	-6.9320927	0.0	fadB	-4.3756757	0.0	clpX	-2.2862246	0.0	truB	-2.2605636	0.0	ptsP	-0.31037605	8.284509331068907e-54	napA	-0.36125314	8.077154339730525e-15	mexB	-0.53005135	7.486197264116668e-144	pchF	-0.7035089	2.675343010748139e-83	sucC	-2.340026	0.0	hcnC	-2.0455058	0.0	atpA	-2.2516122	0.0	pcrD	-22.636633	0.0	rpoD	-2.9389324	0.0	ptsP	-0.28504816	1.0113327354958214e-11	ccoN3	-4.40157	0.0	rpoA	-0.64945424	2.078860140784456e-24	pnp	-2.4208074	6.171827255024494e-203
82	pchF	-1.7926193	0.0	hcnC	-2.6278775	0.0	rpoD	-2.6834838	0.0	nirS	-4.731208	0.0	rpoD	-3.289726	0.0	sucC	-1.1874702	0.0	exoY	-1.2801973	1.0141674347791212e-79	suhB	-0.1843474	1.7137973579350336e-23	coxA	-1.4232686	3.549318803735858e-147	impC	-1.3027006	2.1226901691559862e-101	rpoA	-2.4257457	0.0	phzM	-2.8443196	0.0	lon	-3.9479332	0.0	cysA	-4.1962795	0.0	sodM	-3.6814914	0.0	pscC	-0.9171335	1.3497710790429096e-15	ccoN2	-3.5544465	0.0	rhlR	-0.94363844	6.602035006205422e-27	ccoN1	-2.7784188	2.947568502055521e-205
83	ccoN3	-4.070146	0.0	pvdF	-4.23573	0.0	truB	-3.957976	0.0	sodM	-5.080943	0.0	pyrG	-2.679372	0.0	rho	-2.0848598	0.0	amrB	-1.8100597	1.119135826351414e-171	kgtP	-1.2367141	7.190875847788068e-43	gltB	-0.50643134	9.85409088872254e-305	coxA	-1.4399921	7.111381887980776e-102	pvdF	-4.5335765	0.0	nosZ	-3.9668193	0.0	truB	-3.9612927	0.0	atpA	-1.4003025	0.0	lon	-3.7952187	0.0	aprA	-0.39795268	1.9576240909116386e-28	rpoA	-1.919204	0.0	ccoN3	-1.9463143	2.1879966283903272e-29	atpA	-2.0817163	7.487125863726187e-206
84	nosZ	-2.5080118	0.0	norB	-5.6931	0.0	atpA	-1.8018701	0.0	rpoD	-3.3552363	0.0	rpoN	-3.0344322	0.0	atpA	-1.2633815	0.0	sucC	-0.34087822	2.98056707556769e-192	pelA	-1.4199104	3.2191721254168064e-43	pyrG	-0.76458335	0.0	aprA	-0.618198	1.713156938092509e-112	atpA	-2.421704	0.0	sodM	-2.994072	0.0	nirS	-3.728485	0.0	ccoN2	-3.1464643	0.0	pchF	-4.248936	0.0	lasB	-0.39757124	7.376837952037064e-50	pnp	-2.1648118	0.0	pchF	-1.3595672	5.8626250563173585e-30	sodB	-2.2812264	1.9673256920174042e-207
85	aprA	-1.3962549	0.0	pchF	-4.5445013	0.0	pvdF	-5.6465497	0.0	sucC	-2.2600431	0.0	suhB	-4.2968435	0.0	rpoN	-1.703698	0.0	pscC	-1.7608291	5.061224124073737e-222	mexF	-1.3189645	3.6677879711588416e-48	rho	-1.2416141	0.0	narG	-2.0069926	1.521404489981935e-113	pnp	-2.8107705	0.0	rpoS	-1.9739916	0.0	pilA	-2.8787382	0.0	rpsC	-1.7113464	0.0	truB	-4.108494	0.0	norB	-1.197127	7.519797004827107e-96	nirS	-2.9486325	0.0	lysC	-1.2207444	1.3897213876370337e-31	pyrG	-2.359671	4.05572072391191e-208
86	lasI	-3.319074	0.0	sodM	-3.5127254	0.0	pchF	-5.8387513	0.0	recA	-4.5659633	0.0	sucC	-2.8598437	0.0	gltB	-1.6605867	0.0	exoT	-1.2673066	3.837288700764723e-235	rhlA	-0.27033642	5.8630207592447686e-58	rpoN	-0.9873533	0.0	phzE1	-0.6091687	8.6223184674512e-120	truB	-4.2439365	0.0	pchF	-4.0005875	0.0	nosZ	-5.045455	0.0	pilA	-1.9789608	0.0	atpA	-2.6241598	0.0	nosZ	-1.2368553	2.367723693255792e-105	rpsC	-2.1360853	0.0	pqsC	-1.1421692	9.77796887232119e-36	sucC	-2.2578914	9.63644639060496e-220
87	ccoN2	-3.3521752	0.0	ccoN4	-5.0728045	0.0	pnp	-2.2480514	0.0	pnp	-2.920376	0.0	atpA	-2.900816	0.0	cdrA	-2.8151147	0.0	ccoN3	-2.6832142	0.0	aprA	-0.35453114	2.5303992199721493e-90	truB	-1.5636626	0.0	ccoN4	-0.94596994	3.4167267224849196e-186	nirS	-4.265969	0.0	pvdF	-4.6173983	0.0	rho	-3.883725	0.0	ccoN3	-4.19333	0.0	nosZ	-4.99176	0.0	ccoN2	-1.5474647	2.6663894593438795e-167	atpA	-2.0682054	0.0	rpsC	-0.9354063	5.493159551888857e-41	lon	-3.4129117	5.304816476583916e-227
88	norB	-3.4912996	0.0	rpoS	-2.1945117	0.0	rpsC	-2.3010802	0.0	atpA	-2.476269	0.0	ccoN1	-5.2535553	0.0	rpsC	-1.905891	0.0	rhlA	-1.3093739	0.0	sigX	-0.658656	0.0	pnp	-1.0762402	0.0	rpoS	-0.5667251	1.2519811266452294e-217	norB	-5.9055977	0.0	norB	-5.2352805	0.0	norB	-5.357169	0.0	nosZ	-3.8140414	0.0	rpoA	-2.723991	0.0	ccoN3	-1.9424928	3.702859987961278e-186	pscC	-6.9687233	0.0	ccoN1	-1.1706781	2.9680980403208695e-42	rpoA	-2.3188777	7.793103801016303e-235
89	nirS	-2.302302	0.0	rhlA	-3.6338022	0.0	pilA	-2.5247312	0.0	rpoA	-2.5293791	0.0	gltB	-3.1430788	0.0	suhB	-2.925819	0.0	lasB	-1.2280664	0.0	pvdF	-1.3202523	0.0	sigX	-1.1908575	0.0	lasA	-1.0526855	1.1521314243110758e-276	rpoD	-3.6930344	0.0	aprA	-3.7140393	0.0	rpsC	-3.0536172	0.0	norB	-3.8735042	0.0	pvdF	-4.747344	0.0	nirS	-1.2197796	3.1772674797914897e-190	nosZ	-4.051043	0.0	pilA	-0.966495	1.7100925176764082e-43	rpsC	-2.4469678	3.6409819444264193e-236
90	lasB	-1.4719542	0.0	aprA	-4.403725	0.0	fliC	-3.2669663	0.0	pilA	-3.1230133	0.0	rpsC	-3.6783955	0.0	rpoA	-1.9117424	0.0	coxA	-4.911669	0.0	sodM	-1.2061692	0.0	suhB	-2.0933077	0.0	lasB	-1.1847131	0.0	sodM	-4.7190895	0.0	rhlA	-4.114423	0.0	rpoD	-3.6414163	0.0	pchF	-3.7407615	0.0	nirS	-4.1030703	0.0	lasI	-1.9026228	1.1069357735308037e-239	rne	-2.4134502	0.0	atpA	-0.9530187	1.1957579234222709e-48	pcrD	-22.621227	0.0
91	sodM	-2.5961983	0.0	lasA	-5.7090716	0.0	nirS	-5.9043365	0.0	rpsC	-3.2451131	0.0	pnp	-4.2739716	0.0	pnp	-2.615438	0.0	aprA	-1.626111	0.0	lasA	-2.6538653	0.0	sodB	-1.4107503	0.0	nirS	-1.6379704	0.0	pchF	-5.7573714	0.0	lasA	-4.9205422	0.0	sodM	-4.5172663	0.0	rne	-2.3070462	0.0	pnp	-3.1502476	0.0	rhlR	-1.7303878	0.0	pchF	-3.9071372	0.0	aprA	-1.4193605	6.979084707301104e-70	kgtP	-23.302355	0.0
92	rhlR	-3.2126136	0.0	phzE1	-5.983395	0.0	sodM	-5.873821	0.0	fliC	-3.9861195	0.0	rpoA	-3.6749525	0.0	ccoN1	-3.5704465	0.0	rhlR	-3.1852698	0.0	cdrA	-2.9120545	0.0	ccoN1	-1.9865999	0.0	nosZ	-2.3378394	0.0	rpsC	-3.3436396	0.0	phzE1	-6.5725446	0.0	pchF	-5.607235	0.0	nirS	-3.3097832	0.0	rpsC	-3.234885	0.0	lasA	-1.8354625	0.0	rbsA	-24.152458	0.0	lasA	-1.6278955	4.126757972010952e-73	amrB	-23.81216	0.0
93	lasA	-4.6470165	0.0	lasB	-6.0402102	0.0	rne	-3.7685335	0.0	rne	-4.0842466	0.0	sodB	-4.4326806	0.0	sodB	-2.8539927	0.0	lasA	-4.5706267	0.0	lasB	-2.1012058	0.0	cdrA	-4.4548297	0.0	norB	-2.3077478	0.0	rne	-3.6273658	0.0	lasB	-5.782497	0.0	rne	-3.4801178	0.0	sodM	-3.8445184	0.0	rne	-3.8698845	0.0	coxA	-3.9171848	0.0	sodM	-3.9276617	0.0	sucC	-1.1493592	2.2376295749515002e-73	pscC	-24.19215	0.0
