	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p
20	suhB	0.9721185	0.0	recA	1.1919904	0.0	TriC	-1.1661263	0.0	narG	-6.007755	0.0	ackA	-2.3029673	0.0	pqsC	0.5013165	4.006185201440706e-167	arcA	1.871413	0.0	narG	5.442182	0.0	aceA	1.157376	0.0	dnaA	1.1413215	0.0	ahpF	-1.7613724	1.2780224580436247e-245	pnp	1.1422625	0.0	uspA	-1.1649841	2.719087092175955e-291	pqsH	-0.3101439	3.247101212531354e-06	mexF	-2.2789485	9.664354815747294e-40	rpoS	0.75778747	3.641975573816844e-199	ccoN4	-1.00484	1.502038827131625e-72	katA	0.22592105	0.1096153114674914	ptsP	-0.8548406	5.723357501463882e-16
21	relA	1.3546137	0.0	aceA	1.2354068	0.0	lasR	-0.7486549	0.0	katB	-5.368009	0.0	ptsP	-0.8535367	0.0	uspM	1.0263499	3.820804045474738e-138	rpoA	0.70066434	0.0	clpX	0.90067184	0.0	uspM	2.2828083	0.0	rpoN	0.89463294	0.0	lasI	-1.472592	3.757396158989377e-251	fliC	1.4204998	0.0	kgtP	-4.5549684	0.0	fadB	-0.23764831	5.061370300845158e-08	ccoN4	-0.64257526	5.701929704788653e-40	ccoN1	1.0116882	7.643624898394368e-182	lasI	-1.3310939	3.3392416481071514e-73	pcrD	0.82842225	0.12941265560140497	pqsH	-1.3336607	6.63086055350234e-17
22	anr	1.2917266	0.0	lasI	2.1455698	0.0	hcnC	-0.6825896	0.0	exoY	-9.204114	0.0	mexF	-4.166876	0.0	ptsP	0.44529477	5.372539841729263e-111	anr	1.437333	0.0	htpX	1.461742	0.0	arcA	1.7496383	0.0	rpoH	0.6804304	4.931365393362663e-278	phzE1	-0.9512089	4.119827685666081e-275	lysC	1.8454372	0.0	ccoN4	-1.5006515	0.0	pstS	-0.44428545	4.28905146685926e-09	lasI	-0.91325545	1.7291869942994972e-54	ftsH	1.075456	1.3173661580075604e-181	vgrG	-2.3735914	1.9235422293265425e-75	ilvI	0.16919948	0.12941265560140497	fnr_2	-1.8362172	4.314906012874413e-18
23	ftsH	0.8409622	0.0	fadB	0.9559152	0.0	pcrD	-9.319	0.0	ccoN4	-1.4340067	0.0	gpD	-3.1773272	0.0	fadB	0.38680366	8.330623414340804e-86	truB	1.1933345	0.0	nosZ	1.8925791	0.0	spuD	0.70307	1.2864558931063518e-293	lysC	1.1358846	9.531921873460669e-275	TriC	-2.0404367	5.2918743764118516e-285	ccoN2	2.0308068	0.0	katB	-3.670947	0.0	PA14_48930	-1.3127143	2.1103807057715924e-11	uspA	-0.636513	1.6476613635677054e-58	hcnC	1.110996	8.453579326536317e-176	hcnC	-1.0163172	6.884093604772364e-101	ackA	0.42147997	0.19670848315702733	pelA	-3.3205197	3.737683276673908e-18
24	phzM	1.2130005	0.0	htpX	0.8651803	0.0	uspA	-0.8804194	0.0	ackA	-4.131893	0.0	pelA	-5.0283356	0.0	norB	0.36064503	5.4716182184916966e-55	lon	1.1740562	0.0	rpoD	1.1188989	0.0	wspR	1.5246534	1.8674054573405002e-267	vfr	0.68832797	5.920045147264277e-206	uspA	-1.1245582	7.86044188423565e-307	ilvI	1.710885	0.0	lasI	-1.9867178	0.0	gpD	-1.0739009	4.383332681156409e-14	phzE1	-0.6805465	2.7858622210266654e-71	pstS	2.162417	3.795632045247932e-175	kgtP	-3.595866	5.964448291715393e-108	rbsA	0.4298619	0.20465846380728092	gpD	-2.2058387	3.9638074633416195e-19
25	ccoN1	0.76691806	0.0	wspR	1.5117137	0.0	gpD	-4.0844793	0.0	rbsA	-9.139476	0.0	pcrD	-22.765375	0.0	pqsH	0.4100873	2.4939024324668342e-39	pyrG	0.74880475	0.0	uspM	2.8327935	0.0	sucC	0.46065515	1.212356585784276e-258	ptsP	0.93236965	5.069652523682459e-192	aceA	-1.1599625	0.0	gshB	2.0596678	0.0	lasR	-1.6463214	0.0	uspA	-0.312713	2.8552906677003316e-14	ackA	-1.9509594	5.683628170924548e-75	mexB	1.1348753	2.7828874058550775e-174	aceA	-1.137456	2.0548322474056074e-113	TriC	0.2257155	0.2697990060632648	uspA	-0.88285536	7.786945077637645e-20
26	ilvI	0.97362053	0.0	ilvI	0.726951	0.0	katB	-3.401223	0.0	sodB	-0.8291192	0.0	kgtP	-6.317705	0.0	algD	1.0276154	8.486431334448424e-25	katB	3.647229	0.0	fadB	1.4530445	0.0	impC	1.7379776	1.991023638873881e-242	recA	0.8289746	1.5640405905574452e-182	ccoN4	-1.4478217	0.0	ptsP	1.5738077	0.0	cysA	-3.2884939	0.0	ackA	-1.1241949	1.0685325865262808e-23	ccoN3	-1.5239524	2.571855701601061e-83	spuD	1.0006751	2.6298882197373477e-173	TriC	-2.05015	2.110751624528582e-114	narG	0.13816535	0.7391804038969902	ahpF	-1.5274984	6.835514958455497e-23
27	pilA	0.64041644	0.0	ccoN2	0.907444	0.0	rhlR	-0.8516619	0.0	uspA	-1.3146027	0.0	mvfR	-1.6829362	0.0	vgrG	0.43262586	4.51372480586221e-15	fliC	0.83047944	0.0	ilvI	1.478632	0.0	lasA	0.68678164	2.970735092569432e-240	gltB	0.4473258	5.0419270375699565e-151	pqsH	-2.1013985	0.0	ahpF	2.5155523	0.0	mvfR	-2.5396395	0.0	clpX	-0.28075224	4.4198519281539e-27	pqsH	-1.5928761	4.246617642190499e-126	lasR	1.2912745	1.549230120311356e-162	ackA	-2.6222212	1.1869227620988883e-117	phzM	0.03793277	0.8060729076044154	lasI	-1.3382947	4.3842090124335396e-23
28	TriC	1.8163258	0.0	sigX	0.41570792	0.0	kgtP	-23.483019	0.0	gltB	-0.9168253	0.0	katB	-3.6496675	0.0	kgtP	0.3452111	3.6778480383602484e-05	pilA	0.70934486	0.0	pchF	1.6429164	0.0	exoT	1.5403135	1.670721638458916e-201	mexB	0.68734545	4.393282293000588e-144	ackA	-3.3854532	0.0	rpoN	0.9244063	0.0	aceA	-1.7226553	0.0	TriC	-1.0153977	4.421596733454061e-36	gpD	-2.8367202	1.2625545441687844e-128	rho	1.1807414	2.4084215634173453e-158	cysA	-2.3646023	5.084667186258927e-119	pelA	0.11370966	0.8495827479669291	phzM	-1.2731117	1.2927608109115042e-25
29	recA	0.8127572	0.0	fliC	0.5184641	0.0	ahpF	-1.810226	0.0	lasR	-1.6304321	0.0	pstS	-2.0377064	0.0	uspA	0.062074922	0.0009944242414424637	atpA	0.5285245	0.0	lysC	1.4530814	0.0	fadB	0.73262626	7.917950800039513e-188	ilvI	0.7740387	2.2457827206221047e-136	kgtP	-5.4656196	0.0	exoT	2.4630303	0.0	fliA	-1.6889048	0.0	lasI	-0.79117733	1.3669957820047967e-38	mvfR	-1.6321234	5.630104708461444e-135	rpoA	0.71405065	2.439508591702532e-151	impC	-2.2142491	5.688593601355824e-125	fnr_2	0.03951518	0.8860522443108497	mvfR	-1.6393726	1.7351287916637521e-29
